year,party,state_born,state_resident,candidate
1952,Democrat,California,Illinois,"Stevenson, Adlai"
1952,Republican,Kansas,New York,"Eisenhower, Dwight"
1956,Democrat,California,Illinois,"Stevenson, Adlai"
1956,Republican,Kansas,New York,"Eisenhower, Dwight"
1960,Democrat,Massachusetts,Massachusetts,"Kennedy, John F."
1960,Republican,California,California,"Nixon, Richard M."
1964,Democrat,Texas,Texas,"Johnson, Lyndon B."
1964,Republican,Arizona,Arizona,"Goldwater, Barry"
1968,Republican,California,New York,"Nixon, Richard M."
1968,Democrat,South Dakota,Minnesota,"Humphrey, Hubert"
1972,Democrat,South Dakota,South Dakota,"McGovern, George"
1972,Republican,California,New York,"Nixon, Richard M."
1976,Republican,Nebraska,Michigan,"Ford, Gerald"
1976,Democrat,Georgia,Georgia,"Carter, Jimmy"
1980,Republican,Illinois,California,"Reagan, Ronald"
1980,Democrat,Georgia,Georgia,"Carter, Jimmy"
1984,Republican,Illinois,California,"Reagan, Ronald"
1984,Democrat,Minnesota,Minnesota,"Mondale, Walter"
1988,Republican,Massachusetts,Texas,"Bush, George H.W."
1988,Democrat,Massachusetts,Massachusetts,"Dukakis, Michael"
1992,Republican,Massachusetts,Texas,"Bush, George H.W."
1992,Democrat,Arkansas,Arkansas,"Clinton, Bill"
1996,Democrat,Arkansas,Arkansas,"Clinton, Bill"
1996,Republican,Kansas,Kansas,"Dole, Robert"
2000,Democrat,District Of Columbia,Tennessee,"Gore, Al"
2000,Republican,Connecticut,Texas,"Bush, George W."
2004,Republican,Connecticut,Texas,"Bush, George W."
2004,Democrat,Colorado,Massachusetts,"Kerry, John"
2008,Democrat,Hawaii,Illinois,"Obama, Barack H."
2008,Republican,Arizona,Arizona,John McCain
2012,Republican,Michigan,Massachusetts,Mitt Romney
2012,Democrat,Hawaii,Illinois,"Obama, Barack H."
2016,Democrat,Illinois,New York,"Clinton, Hillary"
2016,Republican,New York,New York,"Trump, Donald J."
2020,Republican,New York,Florida,"Trump, Donald J."
2020,Democrat,Pennsylvania,Delaware,"Biden, Joseph R."
