year,month,month_index,election_cycle,election_year,jobs,pce,rdpi,cpi,ics,sp500,unemp
1940,12,-47,1,1944,34174,NA,NA,NA,NA,10.74333333,NA
1941,1,-46,1,1944,34481,NA,NA,NA,NA,9.983333333,NA
1941,2,-45,1,1944,34843,NA,NA,NA,NA,9.983333333,NA
1941,3,-44,1,1944,35092,NA,NA,NA,NA,9.983333333,NA
1941,4,-43,1,1944,35468,NA,NA,NA,NA,9.513333333,NA
1941,5,-42,1,1944,36182,NA,NA,NA,NA,9.513333333,NA
1941,6,-41,1,1944,36650,NA,NA,NA,NA,9.513333333,NA
1941,7,-40,1,1944,37137,NA,NA,NA,NA,10.29,NA
1941,8,-39,1,1944,37544,NA,NA,NA,NA,10.29,NA
1941,9,-38,1,1944,37835,NA,NA,NA,NA,10.29,NA
1941,10,-37,1,1944,37949,NA,NA,NA,NA,9.103333333,NA
1941,11,-36,1,1944,38024,NA,NA,NA,NA,9.103333333,NA
1941,12,-35,1,1944,38104,NA,NA,NA,NA,9.103333333,NA
1942,1,-34,1,1944,38347,NA,NA,NA,NA,8.483333333,NA
1942,2,-33,1,1944,38512,NA,NA,NA,NA,8.483333333,NA
1942,3,-32,1,1944,38935,NA,NA,NA,NA,8.483333333,NA
1942,4,-31,1,1944,39352,NA,NA,NA,NA,8.036666667,NA
1942,5,-30,1,1944,39771,NA,NA,NA,NA,8.036666667,NA
1942,6,-29,1,1944,40029,NA,NA,NA,NA,8.036666667,NA
1942,7,-28,1,1944,40472,NA,NA,NA,NA,8.676666667,NA
1942,8,-27,1,1944,40988,NA,NA,NA,NA,8.676666667,NA
1942,9,-26,1,1944,41259,NA,NA,NA,NA,8.676666667,NA
1942,10,-25,1,1944,41515,NA,NA,NA,NA,9.473333333,NA
1942,11,-24,1,1944,41674,NA,NA,NA,NA,9.473333333,NA
1942,12,-23,1,1944,41915,NA,NA,NA,NA,9.473333333,NA
1943,1,-22,1,1944,42172,NA,NA,NA,NA,10.99666667,NA
1943,2,-21,1,1944,42393,NA,NA,NA,NA,10.99666667,NA
1943,3,-20,1,1944,42552,NA,NA,NA,NA,10.99666667,NA
1943,4,-19,1,1944,42647,NA,NA,NA,NA,11.99666667,NA
1943,5,-18,1,1944,42596,NA,NA,NA,NA,11.99666667,NA
1943,6,-17,1,1944,42781,NA,NA,NA,NA,11.99666667,NA
1943,7,-16,1,1944,42700,NA,NA,NA,NA,11.91,NA
1943,8,-15,1,1944,42546,NA,NA,NA,NA,11.91,NA
1943,9,-14,1,1944,42492,NA,NA,NA,NA,11.91,NA
1943,10,-13,1,1944,42675,NA,NA,NA,NA,11.53333333,NA
1943,11,-12,1,1944,42821,NA,NA,NA,NA,11.53333333,NA
1943,12,-11,1,1944,42746,NA,NA,NA,NA,11.53333333,NA
1944,1,-10,1,1944,42654,NA,NA,NA,NA,11.89666667,NA
1944,2,-9,1,1944,42538,NA,NA,NA,NA,11.89666667,NA
1944,3,-8,1,1944,42294,NA,NA,NA,NA,11.89666667,NA
1944,4,-7,1,1944,42063,NA,NA,NA,NA,12.4,NA
1944,5,-6,1,1944,41985,NA,NA,NA,NA,12.4,NA
1944,6,-5,1,1944,41947,NA,NA,NA,NA,12.4,NA
1944,7,-4,1,1944,41904,NA,NA,NA,NA,12.75666667,NA
1944,8,-3,1,1944,41850,NA,NA,NA,NA,12.75666667,NA
1944,9,-2,1,1944,41679,NA,NA,NA,NA,12.75666667,NA
1944,10,-1,1,1944,41708,NA,NA,NA,NA,12.96333333,NA
1944,11,0,2,1944,41711,NA,NA,NA,NA,12.96333333,NA
1944,12,-47,2,1948,41860,NA,NA,NA,NA,12.96333333,NA
