year,party,state_born,state_resident,candidate
1952,d,California,Illinois,"Stevenson, Adlai"
1952,r,Kansas,New York,"Eisenhower, Dwight"
1956,d,California,Illinois,"Stevenson, Adlai"
1956,r,Kansas,New York,"Eisenhower, Dwight"
1960,d,Massachusetts,Massachusetts,"Kennedy, John F."
1960,r,California,California,"Nixon, Richard M."
1964,d,Texas,Texas,"Johnson, Lyndon B."
1964,r,Arizona,Arizona,"Goldwater, Barry"
1968,r,California,New York,"Nixon, Richard M."
1968,d,South Dakota,Minnesota,"Humphrey, Hubert"
1972,d,South Dakota,South Dakota,"McGovern, George"
1972,r,California,New York,"Nixon, Richard M."
1976,r,Nebraska,Michigan,"Ford, Gerald"
1976,d,Georgia,Georgia,"Carter, Jimmy"
1980,r,Illinois,California,"Reagan, Ronald"
1980,d,Georgia,Georgia,"Carter, Jimmy"
1984,r,Illinois,California,"Reagan, Ronald"
1984,d,Minnesota,Minnesota,"Mondale, Walter"
1988,r,Massachusetts,Texas,"Bush, George H.W."
1988,d,Massachusetts,Massachusetts,"Dukakis, Michael"
1992,r,Massachusetts,Texas,"Bush, George H.W."
1992,d,Arkansas,Arkansas,"Clinton, Bill"
1996,d,Arkansas,Arkansas,"Clinton, Bill"
1996,r,Kansas,Kansas,"Dole, Robert"
2000,d,District Of Columbia,Tennessee,"Gore, Al"
2000,r,Connecticut,Texas,"Bush, George W."
2004,r,Connecticut,Texas,"Bush, George W."
2004,d,Colorado,Massachusetts,"Kerry, John"
2008,d,Hawaii,Illinois,"Obama, Barack H."
2008,r,Arizona,Arizona,John McCain
2012,r,Michigan,Massachusetts,Mitt Romney
2012,d,Hawaii,Illinois,"Obama, Barack H."
2016,d,Illinois,New York,"Clinton, Hillary"
2016,r,New York,New York,"Trump, Donald J."
2020,r,New York,Florida,"Trump, Donald J."
2020,d,Pennsylvania,Delaware,"Biden, Joseph R."
