numeric_grade,pollscore,start_date,end_date,election_date,politician,approve,disapprove,other,party
3,-1.1,9/11/24,9/13/24,11/5/24,Kamala Harris,41,47,11,1
3,-1.1,9/11/24,9/13/24,11/5/24,Kamala Harris,44,50,6,1
3,-1.1,9/11/24,9/13/24,11/5/24,Kamala Harris,45,50,5,1
1.8,0.4,9/12/24,9/12/24,11/5/24,Kamala Harris,45,37,18,1
,,9/11/24,9/12/24,11/5/24,Kamala Harris,48,49,3,1
1.5,-0.1,9/4/24,9/5/24,11/5/24,Kamala Harris,47,47,6,1
1.1,0.2,9/3/24,9/5/24,11/5/24,Kamala Harris,45,49,0,1
0.5,1.6,8/29/24,9/1/24,11/5/24,Kamala Harris,47.8,52.2,0,1
0.5,1.6,8/29/24,9/1/24,11/5/24,Kamala Harris,46.2,53.8,0,1
0.5,1.6,8/29/24,9/1/24,11/5/24,Kamala Harris,48.2,51.8,0,1
0.5,1.6,8/29/24,9/1/24,11/5/24,Kamala Harris,46.7,53.3,0,1
,,8/1/24,8/31/24,11/5/24,Kamala Harris,44.9,52.5,2.7,1
1.8,-0.4,8/28/24,8/30/24,11/5/24,Kamala Harris,44,44,13,1
1.8,0.4,8/29/24,8/29/24,11/5/24,Kamala Harris,43,42,15,1
2.9,-1,8/25/24,8/28/24,11/5/24,Kamala Harris,46.7,46.4,6.9,1
,,8/24/24,8/28/24,11/5/24,Kamala Harris,42,51,7,1
1.6,-0.2,8/23/24,8/28/24,11/5/24,Kamala Harris,48,46,6,1
3,-1.1,8/22/24,8/26/24,11/5/24,Kamala Harris,42,46,12,1
3,-1.1,8/22/24,8/26/24,11/5/24,Kamala Harris,45,50,6,1
2.7,-0.8,8/23/24,8/25/24,11/5/24,Kamala Harris,50,48,2,1
2.8,-0.9,8/23/24,8/25/24,11/5/24,Kamala Harris,39,48,13,1
2.5,-0.4,8/1/24,8/20/24,11/5/24,Kamala Harris,47,49,3,1
2.6,-1.2,8/1/24,8/15/24,11/5/24,Kamala Harris,50,48,3,1
2.8,-0.9,8/9/24,8/13/24,11/5/24,Kamala Harris,39,49,12,1
2.8,-0.9,8/9/24,8/13/24,11/5/24,Kamala Harris,41,52,8,1
,,8/7/24,8/8/24,11/5/24,Kamala Harris,47.3,46.9,5.8,1
,,8/1/24,8/5/24,11/5/24,Kamala Harris,46,48,7,1
1.5,-0.1,8/2/24,8/3/24,11/5/24,Kamala Harris,46,47,7,1
1.8,-0.4,7/31/24,8/2/24,11/5/24,Kamala Harris,41,46,14,1
2.4,-0.4,7/29/24,8/1/24,11/5/24,Kamala Harris,46,47,7,1
,,7/22/24,7/31/24,11/5/24,Kamala Harris,45.7,50.9,3.4,1
1.8,0.4,7/29/24,7/29/24,11/5/24,Kamala Harris,42,41,19,1
2.8,-0.9,7/26/24,7/28/24,11/5/24,Kamala Harris,39,48,13,1
1.1,0.2,7/26/24,7/28/24,11/5/24,Kamala Harris,46.5,48.9,4.7,1
1.1,0.2,7/26/24,7/28/24,11/5/24,Kamala Harris,47.7,49,3.4,1
,,7/23/24,7/25/24,11/5/24,Kamala Harris,41,50,9,1
1.5,-0.1,7/22/24,7/25/24,11/5/24,Kamala Harris,39,57,4,1
1.5,-0.1,7/22/24,7/25/24,11/5/24,Kamala Harris,41,58,1,1
1.1,0.2,7/22/24,7/24/24,11/5/24,Kamala Harris,43,51,0,1
3,-1.1,7/19/24,7/22/24,11/5/24,Kamala Harris,35,48,16,1
3,-1.1,7/19/24,7/22/24,11/5/24,Kamala Harris,39,51,10,1
1.5,-0.1,7/19/24,7/21/24,11/5/24,Kamala Harris,38,54,8,1
1.5,-0.1,7/19/24,7/21/24,11/5/24,Kamala Harris,39,56,5,1
,,7/1/24,7/20/24,11/5/24,Kamala Harris,33.1,60.7,6.1,1
3,-1.1,7/13/24,7/16/24,11/5/24,Kamala Harris,36,48,17,1
3,-1.1,7/13/24,7/16/24,11/5/24,Kamala Harris,39,51,9,1
1.8,0.4,7/15/24,7/15/24,11/5/24,Kamala Harris,39,41,21,1
1.5,-0.1,7/13/24,7/15/24,11/5/24,Kamala Harris,39,54,7,1
3,-1.1,7/7/24,7/9/24,11/5/24,Kamala Harris,36,49,14,1
3,-1.1,7/7/24,7/9/24,11/5/24,Kamala Harris,39,52,9,1
1.8,0.4,7/8/24,7/8/24,11/5/24,Kamala Harris,38,41,20,1
,,6/28/24,7/7/24,11/5/24,Kamala Harris,42,51,7,1
,,6/28/24,7/7/24,11/5/24,Kamala Harris,44,52,5,1
3,-1.1,6/30/24,7/2/24,11/5/24,Kamala Harris,35,50,15,1
3,-1.1,6/30/24,7/2/24,11/5/24,Kamala Harris,37,53,10,1
3,-1.1,6/28/24,7/2/24,11/5/24,Kamala Harris,42,58,0,1
1.5,-0.1,6/28/24,6/30/24,11/5/24,Kamala Harris,38,54,8,1
,,5/31/24,6/27/24,11/5/24,Kamala Harris,39,51,10,1
,,5/31/24,6/27/24,11/5/24,Kamala Harris,43,51,6,1
1.8,0.4,6/16/24,6/17/24,11/5/24,Kamala Harris,37,42,21,1
1.8,0.4,6/11/24,6/12/24,11/5/24,Kamala Harris,39,44,18,1
,,5/17/24,5/30/24,11/5/24,Kamala Harris,40,49,11,1
,,5/17/24,5/30/24,11/5/24,Kamala Harris,44,49,7,1
1.8,0.4,5/13/24,5/13/24,11/5/24,Kamala Harris,37,41,21,1
1.8,0.4,5/1/24,5/1/24,11/5/24,Kamala Harris,36,44,20,1
2.9,-0.9,4/18/24,4/22/24,11/5/24,Kamala Harris,40,55,5,1
2.9,-0.9,4/18/24,4/22/24,11/5/24,Kamala Harris,39,57,4,1
