start_date,end_date,election_date,approve,disapprove,other,party,days_left,weeks_left,numeric_grade
9/11/24,9/13/24,11/5/24,41,47,11,1,-53,-7,3
9/11/24,9/13/24,11/5/24,45,50,5,1,-53,-7,3
9/11/24,9/13/24,11/5/24,44,50,6,1,-53,-7,3
9/12/24,9/12/24,11/5/24,45,37,18,1,-54,-7,1.8
9/4/24,9/5/24,11/5/24,47,47,6,1,-61,-8,1.5
9/3/24,9/5/24,11/5/24,45,49,0,1,-61,-8,1.1
8/29/24,9/1/24,11/5/24,47.8,52.2,0,1,-65,-9,0.5
8/29/24,9/1/24,11/5/24,46.2,53.8,0,1,-65,-9,0.5
8/29/24,9/1/24,11/5/24,48.2,51.8,0,1,-65,-9,0.5
8/29/24,9/1/24,11/5/24,46.7,53.3,0,1,-65,-9,0.5
8/28/24,8/30/24,11/5/24,44,44,13,1,-67,-9,1.8
8/29/24,8/29/24,11/5/24,43,42,15,1,-68,-9,1.8
8/25/24,8/28/24,11/5/24,46.7,46.4,6.9,1,-69,-9,2.9
8/23/24,8/28/24,11/5/24,48,46,6,1,-69,-9,1.6
8/22/24,8/26/24,11/5/24,42,46,12,1,-71,-10,3
8/22/24,8/26/24,11/5/24,45,50,6,1,-71,-10,3
8/23/24,8/25/24,11/5/24,50,48,2,1,-72,-10,2.7
8/23/24,8/25/24,11/5/24,39,48,13,1,-72,-10,2.8
8/1/24,8/20/24,11/5/24,47,49,3,1,-77,-11,2.5
8/1/24,8/15/24,11/5/24,50,48,3,1,-82,-11,2.6
8/9/24,8/13/24,11/5/24,41,52,8,1,-84,-12,2.8
8/9/24,8/13/24,11/5/24,39,49,12,1,-84,-12,2.8
8/2/24,8/3/24,11/5/24,46,47,7,1,-94,-13,1.5
7/31/24,8/2/24,11/5/24,41,46,14,1,-95,-13,1.8
7/29/24,8/1/24,11/5/24,46,47,7,1,-96,-13,2.4
7/29/24,7/29/24,11/5/24,42,41,19,1,-99,-14,1.8
7/26/24,7/28/24,11/5/24,39,48,13,1,-100,-14,2.8
7/26/24,7/28/24,11/5/24,46.5,48.9,4.7,1,-100,-14,1.1
7/26/24,7/28/24,11/5/24,47.7,49,3.4,1,-100,-14,1.1
7/22/24,7/25/24,11/5/24,41,58,1,1,-103,-14,1.5
7/22/24,7/25/24,11/5/24,39,57,4,1,-103,-14,1.5
7/22/24,7/24/24,11/5/24,43,51,0,1,-104,-14,1.1
7/19/24,7/22/24,11/5/24,35,48,16,1,-106,-15,3
7/19/24,7/22/24,11/5/24,39,51,10,1,-106,-15,3
7/19/24,7/21/24,11/5/24,38,54,8,1,-107,-15,1.5
7/19/24,7/21/24,11/5/24,39,56,5,1,-107,-15,1.5
7/13/24,7/16/24,11/5/24,36,48,17,1,-112,-16,3
7/13/24,7/16/24,11/5/24,39,51,9,1,-112,-16,3
7/15/24,7/15/24,11/5/24,39,41,21,1,-113,-16,1.8
7/13/24,7/15/24,11/5/24,39,54,7,1,-113,-16,1.5
7/7/24,7/9/24,11/5/24,39,52,9,1,-119,-17,3
7/7/24,7/9/24,11/5/24,36,49,14,1,-119,-17,3
7/8/24,7/8/24,11/5/24,38,41,20,1,-120,-17,1.8
6/30/24,7/2/24,11/5/24,35,50,15,1,-126,-18,3
6/30/24,7/2/24,11/5/24,37,53,10,1,-126,-18,3
6/28/24,7/2/24,11/5/24,42,58,0,1,-126,-18,3
6/28/24,6/30/24,11/5/24,38,54,8,1,-128,-18,1.5
6/16/24,6/17/24,11/5/24,37,42,21,1,-141,-20,1.8
6/11/24,6/12/24,11/5/24,39,44,18,1,-146,-20,1.8
5/13/24,5/13/24,11/5/24,37,41,21,1,-176,-25,1.8
5/1/24,5/1/24,11/5/24,36,44,20,1,-188,-26,1.8
4/18/24,4/22/24,11/5/24,40,55,5,1,-197,-28,2.9
4/18/24,4/22/24,11/5/24,39,57,4,1,-197,-28,2.9
4/6/24,4/7/24,11/5/24,36,44,21,1,-212,-30,1.8
3/15/24,3/15/24,11/5/24,35,46,13,1,-235,-33,1.8
3/8/24,3/11/24,11/5/24,36.3,52.1,11.6,1,-239,-34,2.9
3/2/24,3/2/24,11/5/24,33,44,23,1,-248,-35,1.8
2/25/24,2/28/24,11/5/24,39,58,3,1,-251,-35,2.8
2/8/24,2/12/24,11/5/24,35,58,7,1,-267,-38,2.9
2/10/24,2/10/24,11/5/24,35,44,20,1,-269,-38,1.8
1/18/24,1/18/24,11/5/24,36,42,21,1,-292,-41,1.8
12/23/23,12/26/23,11/5/24,32.7,57.3,10,1,-315,-45,2.9
12/1/23,12/20/23,11/5/24,40,58,2,1,-321,-45,2.5
12/8/23,12/8/23,11/5/24,37,45,18,1,-333,-47,1.8
11/30/23,12/4/23,11/5/24,35,57,8,1,-337,-48,2.9
