state,total_votes,d_votes,r_votes
Alabama,2257052,769391,1457704
Alaska,255633,103357,141883
Arizona,3238156,1510940,1693427
Arkansas,1180216,395752,758001
California,13104515,7721839,4993862
Colorado,3110142,1686157,1341833
Connecticut,1747161,986422,730902
Delaware,511353,289585,214184
District Of Columbia,317792,286787,20659
Florida,10932633,4680896,6109564
Georgia,5244250,2544311,2661073
Hawaii,515528,312384,193169
Idaho,904863,274973,605144
Illinois,5386865,2893086,2403889
Indiana,2925429,1159786,1715058
Iowa,1655722,704842,921795
Kansas,1296665,531989,741464
Kentucky,2068861,700920,1336227
Louisiana,2006281,766424,1208269
Maine,825727,430512,374453
Maine_d1,,"256,570","165,322"
Maine_d2,,"174,225","209,650"
Maryland,2746147,1681851,974667
Massachusetts,3381110,2072304,1234783
Michigan,5645934,2729729,2807072
Minnesota,3249978,1653745,1516338
Mississippi,1125079,420926,689451
Missouri,2979048,1190806,1739020
Montana,586667,225272,343064
Nebraska,931163,361949,557156
Nebraska_d1,,"133,093","174,785"
Nebraska_d2,,"159,155","146,088"
Nebraska_d3,,"70,052","237,516"
Nevada,1441076,683815,729660
New Hampshire,825795,418354,395408
New Jersey,4140879,2137175,1911662
New Mexico,919328,476088,422184
New York,7885439,4345506,3438120
North Carolina,5650986,2688713,2878108
North Dakota,367198,111966,245943
Ohio,5644642,2476003,3116579
Oklahoma,1566173,499599,1036213
Oregon,2093080,1155481,861020
Pennsylvania,6952516,3372750,3512894
Rhode Island,508047,281409,212995
South Carolina,2547898,1028366,1483589
South Dakota,428922,146859,272081
Tennessee,3060293,1055039,1964499
Texas,11340202,4806441,6375318
Utah,1330627,510070,784298
Vermont,369400,235791,119395
Virginia,4377272,2264951,2020661
Washington,3638438,2099207,1408176
West Virginia,752186,210223,527644
Wisconsin,3403328,1657477,1688828
Wyoming,268969,69508,192576
