year,party,state_born,state_resident,candidate
1952,Democrat,California,Illinois,Adlai Stevenson
1952,Republican,Kansas,New York,Dwight Eisenhower
1956,Democrat,California,Illinois,Adlai Stevenson
1956,Republican,Kansas,New York,Dwight Eisenhower
1960,Democrat,Massachusetts,Massachusetts,John F. Kennedy
1960,Republican,California,California,Richard Nixon
1964,Democrat,Texas,Texas,Lyndon B. Johnson
1964,Republican,Arizona,Arizona,Barry Goldwater
1968,Republican,California,New York,Richard Nixon
1968,Democrat,South Dakota,Minnesota,Hubert Humphrey
1972,Democrat,South Dakota,South Dakota,George McGovern
1972,Republican,California,New York,Richard Nixon
1976,Republican,Nebraska,Michigan,Gerald Ford
1976,Democrat,Georgia,Georgia,Jimmy Carter
1980,Republican,Illinois,California,Ronald Reagan
1980,Democrat,Georgia,Georgia,Jimmy Carter
1984,Republican,Illinois,California,Ronald Reagan
1984,Democrat,Minnesota,Minnesota,Walter Mondale
1988,Republican,Massachusetts,Texas,George H.W. Bush
1988,Democrat,Massachusetts,Massachusetts,Michael Dukakis
1992,Republican,Massachusetts,Texas,George H. W. Bush
1992,Democrat,Arkansas,Arkansas,Bill Clinton
1996,Democrat,Arkansas,Arkansas,Bill Clinton
1996,Republican,Kansas,Kansas,Bob Dole
2000,Democrat,District Of Columbia,Tennessee,Al Gore
2000,Republican,Connecticut,Texas,George W. Bush
2004,Republican,Connecticut,Texas,George W. Bush
2004,Democrat,Colorado,Massachusetts,John Kerry
2008,Democrat,Hawaii,Illinois,Barack Obama
2008,Republican,Arizona,Arizona,John McCain
2012,Republican,Michigan,Massachusetts,Mitt Romney
2012,Democrat,Hawaii,Illinois,Barack Obama
2016,Democrat,Illinois,New York,Hillary Clinton
2016,Republican,New York,New York,Donald Trump
2020,Republican,New York,Florida,Donald Trump
2020,Democrat,Pennsylvania,Delaware,Joe Biden
