year,state,abbr,electors,d_pv2p,r_pv2p,d_natl_share,r_natl_share,d_cand,r_cand,winner,state_winner,total_rep_electors,total_dem_electors,density,resident_dummy,birth_dummy
1964,Alabama,AL,9,30.55,69.45102832,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",0,57,478,66.9,0,0
1964,Alaska,AK,3,65.90790824,34.09209176,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,0.46,0,0
1964,Arizona,AZ,10,49.5021737,50.4978263,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",0,57,478,13.69,-1,-1
1964,Arkansas,AR,6,56.3621491,43.6378509,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,36.43,0,0
1964,California,CA,55,59.16729365,40.83270635,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,116.37,0,0
1964,Colorado,CO,9,61.59802586,38.40197414,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,18.99,0,0
1964,Connecticut,CT,7,67.87913889,32.12086111,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,577.5,0,0
1964,Delaware,DE,3,61.11304798,38.88695202,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,254.22,0,0
1964,Florida,FL,27,51.14854237,48.85145763,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,107.06,0,0
1964,Georgia,GA,15,45.87289897,54.12710103,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",0,57,478,73.52,0,0
1964,Hawaii,HI,4,78.7611388,21.2388612,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,108.98,0,0
1964,Idaho,ID,4,50.91682423,49.08317577,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,8.22,0,0
1964,Illinois,IL,21,59.47192075,40.52807925,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,190.31,0,0
1964,Indiana,IN,11,56.23761387,43.76238613,61.34396784,38.65603216,"Johnson, Lyndon B.","Goldwater, Barry","Johnson, Lyndon B.",1,57,478,135.38,0,0
