year,state,abbr,electors,d_pv,pop,area,d_pv_nat,d_2pv_nat,d_cand,r_cand,winner,incumb_party,d_incumb,r_incumb,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,d_2pv,state_winner,dem_hsa_advantage,rep_hsa_advantage,dem_rsa_advantage,rep_rsa_advantage,total_rep_electors,total_dem_electors
1952,Alabama,AL,11,64.55341218,3068000,50750,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,64.82939199,1,0,0,0,0,442,89
1956,Alabama,AL,11,56.52251792,3071000,50750,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,58.9342298,1,0,0,0,0,457,74
1960,Alabama,AL,11,56.38941101,3274000,50750,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,57.21951377,1,0,0,0,0,220,317
1964,Alabama,AL,10,30.55,3395000,50750,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,30.54968585,0,0,0,0,0,52,486
1968,Alabama,AL,10,18.72328956,3446000,50750,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,57.22790552,1,0,0,0,0,320,218
1972,Alabama,AL,9,25.53670486,3539400,50750,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,26.06703977,0,0,0,0,0,521,17
1976,Alabama,AL,9,55.72726888,3735139,50750,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,56.66672398,1,0,0,0,0,241,297
1980,Alabama,AL,9,47.44885907,3900368,50750,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,49.3236617,0,0,0,0,0,448,90
1984,Alabama,AL,9,38.28078127,3951820,50750,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,38.73660465,0,0,0,0,0,525,13
1988,Alabama,AL,9,39.86329831,4023844,50750,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,40.2544316,0,0,0,0,0,426,112
1992,Alabama,AL,9,40.8800635,4139269,50750,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,46.17887354,0,0,0,0,0,168,370
1996,Alabama,AL,9,43.1560877,4290403,50750,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,46.26612885,0,0,0,0,0,159,379
2000,Alabama,AL,9,41.56650295,4452173,50750,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,42.39305808,0,0,0,0,0,271,267
2004,Alabama,AL,9,36.84440232,4530729,50750,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,37.10222865,0,0,0,0,0,286,252
2008,Alabama,AL,9,38.74043429,4718206,50750,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,39.10909724,0,0,0,0,0,173,365
2012,Alabama,AL,9,38.3590331,4815588,50750,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,38.78377147,0,0,0,0,0,206,332
2016,Alabama,AL,9,34.35794576,4863525,50750,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,35.62585641,0,0,0,0,0,306,232
2020,Alabama,AL,9,36.56999021,5024279,50750,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,37.08862516,0,0,0,0,0,229,307
1960,Alaska,AK,3,49.05862217,229000,570641,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,49.05862217,0,0,0,0,0,220,317
1964,Alaska,AK,3,65.90790824,263000,570641,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,65.90790824,1,0,0,0,0,52,486
1968,Alaska,AK,3,42.64587222,285000,570641,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,48.50091082,0,0,0,0,0,320,218
1972,Alaska,AK,3,34.62229177,324464,570641,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,37.32845691,0,0,0,0,0,521,17
1976,Alaska,AK,3,35.65313092,400969,570641,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,38.10817123,0,0,0,0,0,241,297
1980,Alaska,AK,3,26.4079018,405315,570641,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,32.70081436,0,0,0,0,0,448,90
1984,Alaska,AK,3,29.86777775,513702,570641,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,30.94408735,0,0,0,0,0,525,13
1988,Alaska,AK,3,36.27096284,541983,570641,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,37.83668256,0,0,0,0,0,426,112
1992,Alaska,AK,3,30.28711132,587073,570641,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,43.42573795,0,0,0,0,0,168,370
1996,Alaska,AK,3,33.26711365,604918,570641,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,39.5714975,0,0,0,0,0,159,379
2000,Alaska,AK,3,27.66633982,627963,570641,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,32.06305143,0,0,0,0,0,271,267
2004,Alaska,AK,3,35.51686191,659286,570641,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,36.77371702,0,0,0,0,0,286,252
2008,Alaska,AK,3,37.8893736,687455,570641,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,38.93521508,0,0,0,0,0,173,365
2012,Alaska,AK,3,40.81265911,730443,570641,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,42.68470952,0,0,0,0,0,206,332
2016,Alaska,AK,3,36.55087129,741456,570641,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,41.61434529,0,0,0,0,0,306,232
2020,Alaska,AK,3,42.77195227,733391,570641,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,44.73815128,0,0,0,0,0,229,307
1952,Arizona,AZ,4,41.65022835,842000,113642,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,41.65022835,0,0,0,0,0,442,89
1956,Arizona,AZ,4,38.90093151,1053000,113642,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,38.94159451,0,0,0,0,0,457,74
1960,Arizona,AZ,4,44.36260794,1321000,113642,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,44.41488159,0,0,0,0,0,220,317
1964,Arizona,AZ,5,49.45254488,1556000,113642,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,49.5021737,0,0,1,0,1,52,486
1968,Arizona,AZ,5,35.0177436,1682000,113642,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,38.99825037,0,0,0,0,0,320,218
1972,Arizona,AZ,6,30.3807928,2008291,113642,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,33.01560483,0,0,0,0,0,521,17
1976,Arizona,AZ,6,39.79997819,2346157,113642,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,41.38669698,0,0,0,0,0,241,297
1980,Arizona,AZ,6,28.24468359,2737774,113642,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,31.78791317,0,0,0,0,0,448,90
1984,Arizona,AZ,7,32.54264317,3067135,113642,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,32.88327243,0,0,0,0,0,525,13
1988,Arizona,AZ,7,38.74387412,3535183,113642,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,39.25650847,0,0,0,0,0,426,112
1992,Arizona,AZ,8,36.5204526,3867333,113642,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,48.69809602,0,0,0,0,0,168,370
1996,Arizona,AZ,8,46.51706595,4432308,113642,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,51.22377115,1,0,0,0,0,159,379
2000,Arizona,AZ,8,44.73458502,5160586,113642,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,46.71740083,0,0,0,0,0,271,267
2004,Arizona,AZ,10,44.39683293,5652404,113642,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,44.72499497,0,0,0,0,0,286,252
2008,Arizona,AZ,10,45.11525087,6280362,113642,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,45.68609928,0,0,1,0,1,173,365
2012,Arizona,AZ,11,44.58976694,6554978,113642,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,45.38661977,0,0,0,0,0,206,332
2016,Arizona,AZ,11,45.12602184,6941072,113642,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,48.1099766,0,0,0,0,0,306,232
2020,Arizona,AZ,11,49.36469061,7151502,113642,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,50.15683168,1,0,0,0,0,229,307
1952,Arkansas,AR,8,55.9041502,1838000,52075,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,56.09051815,1,0,0,0,0,442,89
1956,Arkansas,AR,8,52.45737532,1704000,52075,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,53.3774314,1,0,0,0,0,457,74
1960,Arkansas,AR,8,50.18541034,1789000,52075,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,53.82185771,1,0,0,0,0,220,317
1964,Arkansas,AR,6,56.06395849,1897000,52075,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,56.3621491,1,0,0,0,0,52,486
1968,Arkansas,AR,6,30.33202644,1902000,52075,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,49.44366154,0,0,0,0,0,320,218
1972,Arkansas,AR,6,30.7101191,2018638,52075,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,30.85379663,0,0,0,0,0,521,17
