year,state,abbr,electors,d_pv,d_2pv,d_pv_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb_party,d_incumb,r_incumb,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area
1952,Alabama,AL,11,64.55341218,64.82939199,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,1,0,0,0,0,0,0,0,0,3068000,50750
1952,Arizona,AZ,4,41.65022835,41.65022835,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,842000,113642
1952,Arkansas,AR,8,55.9041502,56.09051815,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,1,0,0,0,0,0,0,0,0,1838000,52075
1952,California,CA,32,42.26532747,42.65155152,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,1,0,0,0,11635000,155973
1952,Colorado,CO,6,38.96251883,39.2626734,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,1365000,103730
1952,Connecticut,CT,8,43.90957881,44.08036894,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,2081000,4845
1952,Delaware,DE,3,47.87530527,48.0550717,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,341000,1955
1952,Florida,FL,10,44.97456377,44.99052565,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,3157000,53997
1952,Georgia,GA,12,69.65857125,69.65867747,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,1,0,0,0,0,0,0,0,0,3584000,57919
1952,Idaho,ID,4,34.42082894,34.47611934,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,587000,82751
1952,Illinois,IL,27,44.94295767,45.04157342,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,1,0,8956000,55593
1952,Indiana,IN,13,40.99216243,41.36312055,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,4148000,35870
1952,Iowa,IA,10,35.58658641,35.82245269,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,2626000,55875
1952,Kansas,KS,8,30.49613576,30.72129209,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,1,0,0,1977000,81823
1952,Kentucky,KY,10,49.91491701,50.03532649,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,1,0,0,0,0,0,0,0,0,2920000,39732
