year,state,abbr,electors,d_pv,r_pv,pop,area
1948,Alabama,AL,11,79.75,19.03898037,2969000,50750
1948,Arizona,AZ,4,53.7943693,43.82401943,690000,113642
1948,Arkansas,AR,9,61.72141458,21.01618724,1825000,52075
1948,California,CA,25,47.5721975,47.12796448,10064000,155973
1948,Colorado,CO,6,51.87670916,46.52499723,1263000,103730
1948,Connecticut,CT,8,47.91039911,49.54669854,2014000,4845
1948,Delaware,DE,3,48.76072279,50.03703091,312000,1955
1948,Florida,FL,8,48.81700289,33.63323021,2578000,53997
1948,Georgia,GA,12,60.80895206,18.31365638,3259000,57919
1948,Idaho,ID,4,49.98231044,47.25625652,551000,82751
1948,Illinois,IL,28,50.0675695,49.22390454,8552000,55593
1948,Indiana,IN,13,48.77588283,49.5756587,3877000,35870
1948,Iowa,IA,10,50.31244221,47.58078808,2543000,55875
1948,Kansas,KS,8,44.61124795,53.62941308,1892000,81823
1948,Kentucky,KY,11,56.73755072,41.47653095,2817000,39732
1948,Louisiana,LA,10,32.74854925,17.45152953,2596000,43566
1948,Maine_full,ME_full,5,42.26610622,56.73725117,878000,30865
1948,Maine_d1,ME_d1,0,42.26610622,56.73725117,878000,30865
1948,Maine_d2,ME_d2,0,42.26610622,56.73725117,878000,30865
1948,Maryland,MD,8,48.01478043,49.40450954,2271000,9775
1948,Massachusetts,MA,16,54.6610439,43.156478,4674000,7838
1948,Michigan,MI,19,47.56559154,49.23163487,6213000,56539
1948,Minnesota,MN,11,57.16475311,39.89495358,2868000,79617
1948,Mississippi,MS,9,10.08585254,2.623965867,2076000,46914
1948,Missouri,MO,15,58.10837005,41.49419623,3844000,68898
1948,Montana,MT,4,53.09080694,43.14734392,542000,145556
1948,Nebraska_full,NE_full,6,45.84713871,54.15265677,1265000,76878
1948,Nebraska_d1,NE_d1,0,45.84713871,54.15265677,1265000,76878
1948,Nebraska_d2,NE_d2,0,45.84713871,54.15265677,1265000,76878
1948,Nebraska_d3,NE_d3,0,45.84713871,54.15265677,1265000,76878
1948,Nevada,NV,3,50.37429367,47.26081427,156000,109806
1948,New Hampshire,NH,4,46.66220187,52.41055997,520000,8969
1948,New Jersey,NJ,16,45.93125098,50.32553583,4774000,7419
1948,New Mexico,NM,4,56.37886701,42.92831827,604000,121365
1948,New York,NY,47,44.99802703,45.98465777,14497000,47224
1948,North Carolina,NC,14,58.02133191,32.68061915,3837000,48718
