Year,Quarter,Gross.domestic.product,Gross.national.product,Disposable.personal.income,Personal.consumption.expenditures,Goods,Durable.goods,Nondurable.goods,Services,Population..midperiod..thousands.,month
1947,1,5082.666667,5115.666667,3437,3147,2943,279,3504,6019,143143,1
1947,1,5082.666667,5115.666667,3437,3147,2943,279,3504,6019,143143,2
1947,1,5082.666667,5115.666667,3437,3147,2943,279,3504,6019,143143,3
1947,2,5046.333333,5080.666667,3388.333333,3185,2982,284,3548,6079,143790,4
1947,2,5046.333333,5080.666667,3388.333333,3185,2982,284,3548,6079,143790,5
1947,2,5046.333333,5080.666667,3388.333333,3185,2982,284,3548,6079,143790,6
1947,3,5013,5047,3462.666667,3180.666667,2988,286,3548,6038,144449,7
1947,3,5013,5047,3462.666667,3180.666667,2988,286,3548,6038,144449,8
1947,3,5013,5047,3462.666667,3180.666667,2988,286,3548,6038,144449,9
1947,4,5068,5103.333333,3398.333333,3167,2986,303,3485,5979,145122,10
1947,4,5068,5103.333333,3398.333333,3167,2986,303,3485,5979,145122,11
1947,4,5068,5103.333333,3398.333333,3167,2986,303,3485,5979,145122,12
1948,1,5123.666667,5161.666667,3447.666667,3170,2978,301,3483,6019,145709,1
1948,1,5123.666667,5161.666667,3447.666667,3170,2978,301,3483,6019,145709,2
1948,1,5123.666667,5161.666667,3447.666667,3170,2978,301,3483,6019,145709,3
1948,2,5187.666667,5227,3540.333333,3194,2993,302,3503,6089,146289,4
1948,2,5187.666667,5227,3540.333333,3194,2993,302,3503,6089,146289,5
1948,2,5187.666667,5227,3540.333333,3194,2993,302,3503,6089,146289,6
1948,3,5195,5234.666667,3582.666667,3185,2977,305,3467,6095,146921,7
1948,3,5195,5234.666667,3582.666667,3185,2977,305,3467,6095,146921,8
1948,3,5195,5234.666667,3582.666667,3185,2977,305,3467,6095,146921,9
1948,4,5176.666667,5216,3586,3195.666667,2983,300,3496,6128,147607,10
1948,4,5176.666667,5216,3586,3195.666667,2983,300,3496,6128,147607,11
1948,4,5176.666667,5216,3586,3195.666667,2983,300,3496,6128,147607,12
1949,1,5083.333333,5121,3500,3186.666667,2966,293,3494,6140,148254,1
1949,1,5083.333333,5121,3500,3186.666667,2966,293,3494,6140,148254,2
1949,1,5083.333333,5121,3500,3186.666667,2966,293,3494,6140,148254,3
1949,2,5045.666667,5082.333333,3503.333333,3222.666667,3019,317,3490,6146,148847,4
1949,2,5045.666667,5082.333333,3503.333333,3222.666667,3019,317,3490,6146,148847,5
1949,2,5045.666667,5082.333333,3503.333333,3222.666667,3019,317,3490,6146,148847,6
1949,3,5076,5111.666667,3511,3216.333333,3021,331,3444,6107,149485,7
1949,3,5076,5111.666667,3511,3216.333333,3021,331,3444,6107,149485,8
1949,3,5076,5111.666667,3511,3216.333333,3021,331,3444,6107,149485,9
1949,4,5010.666667,5043.666667,3515,3248.666667,3075,342,3485,6097,150167,10
1949,4,5010.666667,5043.666667,3515,3248.666667,3075,342,3485,6097,150167,11
1949,4,5010.666667,5043.666667,3515,3248.666667,3075,342,3485,6097,150167,12
1950,1,5186.333333,5221,3770.666667,3289,3122,354,3515,6148,150786,1
1950,1,5186.333333,5221,3770.666667,3289,3122,354,3515,6148,150786,2
1950,1,5186.333333,5221,3770.666667,3289,3122,354,3515,6148,150786,3
1950,2,5325.666667,5362,3746.333333,3331.333333,3144,356,3543,6281,151319,4
1950,2,5325.666667,5362,3746.333333,3331.333333,3144,356,3543,6281,151319,5
1950,2,5325.666667,5362,3746.333333,3331.333333,3144,356,3543,6281,151319,6
1950,3,5508,5549.666667,3777,3487.666667,3365,438,3589,6351,151973,7
1950,3,5508,5549.666667,3777,3487.666667,3365,438,3589,6351,151973,8
1950,3,5508,5549.666667,3777,3487.666667,3365,438,3589,6351,151973,9
1950,4,5588,5629.666667,3783,3367.333333,3173,382,3493,6363,152658,10
1950,4,5588,5629.666667,3783,3367.333333,3173,382,3493,6363,152658,11
1950,4,5588,5629.666667,3783,3367.333333,3173,382,3493,6363,152658,12
1951,1,5640.666667,5680.666667,3771,3434.333333,3230,393,3543,6510,153291,1
1951,1,5640.666667,5680.666667,3771,3434.333333,3230,393,3543,6510,153291,2
1951,1,5640.666667,5680.666667,3771,3434.333333,3230,393,3543,6510,153291,3
1951,2,5715.666667,5761.333333,3839.666667,3324,3053,335,3477,6529,153902,4
1951,2,5715.666667,5761.333333,3839.666667,3324,3053,335,3477,6529,153902,5
1951,2,5715.666667,5761.333333,3839.666667,3324,3053,335,3477,6529,153902,6
1951,3,5806.666667,5853.666667,3865.666667,3347.333333,3073,327,3534,6580,154610,7
1951,3,5806.666667,5853.666667,3865.666667,3347.333333,3073,327,3534,6580,154610,8
1951,3,5806.666667,5853.666667,3865.666667,3347.333333,3073,327,3534,6580,154610,9
1951,4,5791.666667,5841,3840.666667,3351,3083,325,3559,6565,155344,10
1951,4,5791.666667,5841,3840.666667,3351,3083,325,3559,6565,155344,11
1951,4,5791.666667,5841,3840.666667,3351,3083,325,3559,6565,155344,12
1952,1,5830,5876.666667,3823.333333,3345,3056,325,3515,6621,155976,1
1952,1,5830,5876.666667,3823.333333,3345,3056,325,3515,6621,155976,2
1952,1,5830,5876.666667,3823.333333,3345,3056,325,3515,6621,155976,3
1952,2,5819.666667,5866.333333,3856.666667,3397.333333,3112,330,3583,6697,156587,4
1952,2,5819.666667,5866.333333,3856.666667,3397.333333,3112,330,3583,6697,156587,5
1952,2,5819.666667,5866.333333,3856.666667,3397.333333,3112,330,3583,6697,156587,6
1952,3,5836.333333,5882.333333,3917.666667,3399,3095,309,3630,6756,157267,7
1952,3,5836.333333,5882.333333,3917.666667,3399,3095,309,3630,6756,157267,8
1952,3,5836.333333,5882.333333,3917.666667,3399,3095,309,3630,6756,157267,9
1952,4,6000.333333,6046,3983.333333,3502.666667,3237,361,3666,6820,157986,10
1952,4,6000.333333,6046,3983.333333,3502.666667,3237,361,3666,6820,157986,11
1952,4,6000.333333,6046,3983.333333,3502.666667,3237,361,3666,6820,157986,12
1953,1,6089.333333,6134.333333,4015.666667,3530.666667,3268,372,3675,6861,158574,1
1953,1,6089.333333,6134.333333,4015.666667,3530.666667,3268,372,3675,6861,158574,2
1953,1,6089.333333,6134.333333,4015.666667,3530.666667,3268,372,3675,6861,158574,3
1953,2,6113.666667,6160.666667,4053,3539,3262,368,3679,6917,159160,4
1953,2,6113.666667,6160.666667,4053,3539,3262,368,3679,6917,159160,5
1953,2,6113.666667,6160.666667,4053,3539,3262,368,3679,6917,159160,6
1953,3,6051.666667,6094.333333,4015,3514.333333,3220,364,3628,6927,159889,7
1953,3,6051.666667,6094.333333,4015,3514.333333,3220,364,3628,6927,159889,8
1953,3,6051.666667,6094.333333,4015,3514.333333,3220,364,3628,6927,159889,9
1953,4,5932.333333,5974.666667,3983,3474.666667,3185,352,3617,6843,160639,10
1953,4,5932.333333,5974.666667,3983,3474.666667,3185,352,3617,6843,160639,11
1953,4,5932.333333,5974.666667,3983,3474.666667,3185,352,3617,6843,160639,12
1954,1,5878.666667,5923.666667,3986,3472.333333,3170,340,3636,6877,161328,1
1954,1,5878.666667,5923.666667,3986,3472.333333,3170,340,3636,6877,161328,2
1954,1,5878.666667,5923.666667,3986,3472.333333,3170,340,3636,6877,161328,3
1954,2,5861.333333,5905.666667,3973.666667,3503.333333,3188,355,3612,6967,161983,4
1954,2,5861.333333,5905.666667,3973.666667,3503.333333,3188,355,3612,6967,161983,5
1954,2,5861.333333,5905.666667,3973.666667,3503.333333,3188,355,3612,6967,161983,6
1954,3,5900.333333,5945,3997.333333,3534.333333,3207,355,3640,7055,162731,7
1954,3,5900.333333,5945,3997.333333,3534.333333,3207,355,3640,7055,162731,8
1954,3,5900.333333,5945,3997.333333,3534.333333,3207,355,3640,7055,162731,9
1954,4,5986.666667,6035.666667,4054.333333,3591,3280,375,3684,7106,163524,10
1954,4,5986.666667,6035.666667,4054.333333,3591,3280,375,3684,7106,163524,11
1954,4,5986.666667,6035.666667,4054.333333,3591,3280,375,3684,7106,163524,12
1955,1,6132,6182.333333,4103,3656.333333,3367,407,3707,7159,164204,1
1955,1,6132,6182.333333,4103,3656.333333,3367,407,3707,7159,164204,2
1955,1,6132,6182.333333,4103,3656.333333,3367,407,3707,7159,164204,3
1955,2,6207,6256.333333,4177,3711.666667,3448,427,3760,7182,164864,4
1955,2,6207,6256.333333,4177,3711.666667,3448,427,3760,7182,164864,5
1955,2,6207,6256.333333,4177,3711.666667,3448,427,3760,7182,164864,6
1955,3,6262.333333,6312,4235,3740.333333,3480,439,3768,7223,165612,7
1955,3,6262.333333,6312,4235,3740.333333,3480,439,3768,7223,165612,8
1955,3,6262.333333,6312,4235,3740.333333,3480,439,3768,7223,165612,9
1955,4,6269.333333,6320,4263.666667,3769,3488,426,3826,7331,166419,10
1955,4,6269.333333,6320,4263.666667,3769,3488,426,3826,7331,166419,11
1955,4,6269.333333,6320,4263.666667,3769,3488,426,3826,7331,166419,12
1956,1,6219.333333,6274,4288.666667,3759.666667,3458,404,3853,7371,167109,1
1956,1,6219.333333,6274,4288.666667,3759.666667,3458,404,3853,7371,167109,2
1956,1,6219.333333,6274,4288.666667,3759.666667,3458,404,3853,7371,167109,3
1956,2,6245.333333,6299.333333,4312,3757,3439,403,3828,7412,167788,4
1956,2,6245.333333,6299.333333,4312,3757,3439,403,3828,7412,167788,5
1956,2,6245.333333,6299.333333,4312,3757,3439,403,3828,7412,167788,6
