year,abbr,pop,area,density
1948,AL,2969000,50750,58.5
1948,AR,1825000,52075,35.05
1948,AZ,690000,113642,6.07
1948,CA,10064000,155973,64.52
1948,CO,1263000,103730,12.18
1948,CT,2014000,4845,415.69
1948,DE,312000,1955,159.59
1948,FL,2578000,53997,47.74
1948,GA,3259000,57919,56.27
1948,IA,2543000,55875,45.51
1948,ID,551000,82751,6.66
1948,IL,8552000,55593,153.83
1948,IN,3877000,35870,108.08
1948,KS,1892000,81823,23.12
1948,KY,2817000,39732,70.9
1948,LA,2596000,43566,59.59
1948,MA,4674000,7838,596.33
1948,MD,2271000,9775,232.33
1948,ME,878000,30865,28.45
1948,MI,6213000,56539,109.89
1948,MN,2868000,79617,36.02
1948,MO,3844000,68898,55.79
1948,MS,2076000,46914,44.25
1948,MT,542000,145556,3.72
1948,NC,3837000,48718,78.76
1948,ND,580000,68994,8.41
1948,NE,1265000,76878,16.45
1948,NH,520000,8969,57.98
1948,NJ,4774000,7419,643.48
1948,NM,604000,121365,4.98
1948,NV,156000,109806,1.42
1948,NY,14497000,47224,306.98
1948,OH,7876000,40953,192.32
1948,OK,2089000,68679,30.42
1948,OR,1405000,96003,14.63
1948,PA,10287000,44820,229.52
1948,RI,787000,1034,761.12
1948,SC,1996000,30111,66.29
1948,SD,612000,75898,8.06
1948,TN,3216000,41220,78.02
1948,TX,7626000,261914,29.12
1948,UT,653000,82168,7.95
1948,VA,3207000,39598,80.99
1948,VT,359000,9249,38.82
1948,WA,2255000,66582,33.87
1948,WI,3314000,54314,61.02
1948,WV,1899000,24087,78.84
1948,WY,269000,97105,2.77
1952,AK,189000,570641,0.33
1952,AL,3068000,50750,60.45
1952,AR,1838000,52075,35.3
1952,AZ,842000,113642,7.41
1952,CA,11635000,155973,74.6
1952,CO,1365000,103730,13.16
1952,CT,2081000,4845,429.51
1952,DE,341000,1955,174.42
1952,FL,3157000,53997,58.47
1952,GA,3584000,57919,61.88
1952,HI,517000,6423,80.49
1952,IA,2626000,55875,47
1952,ID,587000,82751,7.09
1952,IL,8956000,55593,161.1
1952,IN,4148000,35870,115.64
1952,KS,1977000,81823,24.16
1952,KY,2920000,39732,73.49
1952,LA,2842000,43566,65.23
1952,MA,4650000,7838,593.26
1952,MD,2500000,9775,255.75
1952,ME,915000,30865,29.65
1952,MI,6650000,56539,117.62
1952,MN,3030000,79617,38.06
1952,MO,3972000,68898,57.65
1952,MS,2152000,46914,45.87
1952,MT,602000,145556,4.14
1952,NC,4109000,48718,84.34
1952,ND,608000,68994,8.81
1952,NE,1311000,76878,17.05
1952,NH,535000,8969,59.65
1952,NJ,5125000,7419,690.79
1952,NM,735000,121365,6.06
1952,NV,181000,109806,1.65
1952,NY,15192000,47224,321.7
1952,OH,8275000,40953,202.06
1952,OK,2219000,68679,32.31
1952,OR,1582000,96003,16.48
1952,PA,10503000,44820,234.34
1952,RI,802000,1034,775.63
1952,SC,2178000,30111,72.33
1952,SD,651000,75898,8.58
1952,TN,3352000,41220,81.32
1952,TX,8314000,261914,31.74
1952,UT,724000,82168,8.81
1952,VA,3504000,39598,88.49
1952,VT,375000,9249,40.54
1952,WA,2448000,66582,36.77
1952,WI,3469000,54314,63.87
1952,WV,1957000,24087,81.25
1952,WY,293000,97105,3.02
1956,AK,224000,570641,0.39
1956,AL,3071000,50750,60.51
1956,AR,1704000,52075,32.72
1956,AZ,1053000,113642,9.27
1956,CA,13713000,155973,87.92
1956,CO,1625000,103730,15.67
1956,CT,2316000,4845,478.02
1956,DE,408000,1955,208.7
1956,FL,4047000,53997,74.95
1956,GA,3701000,57919,63.9
1956,HI,559000,6423,87.03
1956,IA,2703000,55875,48.38
1956,ID,628000,82751,7.59
1956,IL,9530000,55593,171.42
1956,IN,4458000,35870,124.28
1956,KS,2119000,81823,25.9
1956,KY,2898000,39732,72.94
1956,LA,3032000,43566,69.6
1956,MA,4891000,7838,624.01
1956,MD,2811000,9775,287.57
1956,ME,938000,30865,30.39
1956,MI,7467000,56539,132.07
