state,abbr,electors,partisan_lean,margin_polls,margin_fund,margin_ensemble,margin_final,d_pv,r_pv,category,d_electors,r_electors
Alabama,AL,9,-22.029094372062243,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-22.128587824362334,27.871412175637666,72.12858782436234,Strong R,226,309
Alaska,AK,3,-12.939007915263767,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-13.038501367563857,36.96149863243615,63.03850136756385,Strong R,226,309
Arizona,AZ,11,-3.998546195671349,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-4.098039647971439,45.90196035202856,54.09803964797144,Lean R,226,309
Arkansas,AR,6,-24.659883291649873,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-24.759376743949964,25.240623256050036,74.75937674394996,Strong R,226,309
California,CA,54,21.411255803958767,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,21.311762351658675,71.31176235165867,28.688237648341328,Strong D,226,309
Colorado,CO,10,4.99960751750911,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,4.900114065209021,54.900114065209024,45.099885934790976,Lean D,226,309
Connecticut,CT,7,11.228251977578074,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,11.128758525277984,61.12875852527799,38.87124147472201,Strong D,226,309
Delaware,DE,3,10.469432171671507,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,10.369938719371417,60.36993871937142,39.63006128062858,Strong D,226,309
District Of Columbia,DC,3,59.432918307058074,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,59.333424854757986,109.333424854758,-9.333424854757993,Strong D,226,309
Florida,FL,30,-7.013314278662654,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-7.112807730962744,42.88719226903726,57.11280773096274,Likely R,226,309
Georgia,GA,16,-3.8940662738326948,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-3.9935597261327844,46.00644027386721,53.99355972613279,Lean R,226,309
Hawaii,HI,4,16.92776262446812,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,16.828269172168028,66.82826917216804,33.171730827831965,Strong D,226,309
Idaho,ID,4,-27.164230328441644,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-27.263723780741735,22.736276219258265,77.26372378074174,Strong R,226,309
Illinois,IL,19,8.708623271677224,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,8.609129819377134,58.60912981937713,41.39087018062287,Likely D,226,309
Indiana,IN,11,-15.592290539424004,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-15.691783991724094,34.308216008275906,65.6917839917241,Strong R,226,309
Iowa,IA,6,-10.190448261247429,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-10.289941713547519,39.71005828645248,60.28994171354752,Strong R,226,309
Kansas,KS,6,-14.715995450691013,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-14.815488902991103,35.184511097008894,64.8154889029911,Strong R,226,309
Kentucky,KY,8,-22.64244503903542,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-22.74193849133551,27.25806150866449,72.7419384913355,Strong R,226,309
Louisiana,LA,8,-17.21951722218273,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-17.319010674482822,32.680989325517174,67.31901067448283,Strong R,226,309
Maine,ME,2,12.311782372149047,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,12.212288919848957,62.21228891984896,37.78771108015104,Strong D,226,309
Maine_d2,ME_d2,1,1.3566798955982828,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,1.257186443298193,51.257186443298195,48.742813556701805,Lean D,226,309
Maryland,MD,10,20.16879706716018,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,20.06930361486009,70.06930361486009,29.93069638513991,Strong D,226,309
Massachusetts,MA,11,19.820432747506125,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,19.720939295206033,69.72093929520604,30.279060704793963,Strong D,226,309
Michigan,MI,15,-1.6495137961257071,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-1.749007248425797,48.2509927515742,51.7490072484258,Lean R,226,309
Minnesota,MN,10,1.908555167503239,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,1.8090617152031492,51.80906171520315,48.19093828479685,Lean D,226,309
Mississippi,MS,6,-15.451688818337564,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-15.551182270637653,34.44881772936235,65.55118227063765,Strong R,226,309
Missouri,MO,10,-14.936978533784417,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-15.036471986084507,34.96352801391549,65.036471986084507,Strong R,226,309
Montana,MT,4,-16.196601337127227,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-16.29609478942732,33.703905210572685,66.29609478942731,Strong R,226,309
Nebraska,NE,2,-18.2232522039558,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-18.32274565625589,31.67725434374411,68.32274565625589,Strong R,226,309
Nebraska_d2,NE_d2,1,0.5863492026356194,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,0.4868557503355296,50.48685575033553,49.51314424966447,Lean D,226,309
