state,abbr,electors,partisan_lean,d_2pv_polls,d_2pv_fund,d_2pv_final,d_pv,r_pv,category,d_electors,r_electors
Alabama,AL,9,-12.653265549786344,52.396757147201825,49.84620578798763,39.743491597415485,39.743491597415485,60.256508402584515,Strong R,288,250
Alaska,AK,3,-6.865505346541472,52.396757147201825,49.84620578798763,45.53125180066036,45.53125180066036,54.46874819933964,Lean R,288,250
Arizona,AZ,11,-2.3467186831489713,52.396757147201825,49.84620578798763,50.050038464052854,50.050038464052854,49.949961535947146,Lean D,288,250
Arkansas,AR,6,-13.328744789408933,52.396757147201825,49.84620578798763,39.068012357792895,39.068012357792895,60.931987642207105,Strong R,288,250
California,CA,54,12.342779571664561,52.396757147201825,49.84620578798763,64.73953671886639,64.73953671886639,35.26046328113361,Strong D,288,250
Colorado,CO,10,2.7887543883321655,52.396757147201825,49.84620578798763,55.18551153553399,55.18551153553399,44.81448846446601,Likely D,288,250
Connecticut,CT,7,5.785224026936238,52.396757147201825,49.84620578798763,58.18198117413806,58.18198117413806,41.81801882586194,Likely D,288,250
Delaware,DE,3,5.16053833904312,52.396757147201825,49.84620578798763,57.557295486244946,57.557295486244946,42.442704513755054,Likely D,288,250
District Of Columbia,DC,3,34.98593870507506,52.396757147201825,49.84620578798763,87.38269585227688,87.38269585227688,12.617304147723118,Strong D,288,250
Florida,FL,30,-3.2000826518966177,52.396757147201825,49.84620578798763,49.19667449530521,49.19667449530521,50.80332550469479,Lean R,288,250
Georgia,GA,16,-2.5242865879053884,52.396757147201825,49.84620578798763,49.87247055929644,49.87247055929644,50.12752944070356,Lean R,288,250
Hawaii,HI,4,11.261981416488226,52.396757147201825,49.84620578798763,63.65873856369005,63.65873856369005,36.34126143630995,Strong D,288,250
Idaho,ID,4,-15.3474733089524,52.396757147201825,49.84620578798763,37.04928383824942,37.04928383824942,62.95071616175058,Strong R,288,250
Illinois,IL,19,5.482418907094242,52.396757147201825,49.84620578798763,57.87917605429607,57.87917605429607,42.12082394570393,Likely D,288,250
Indiana,IN,11,-8.9273258831360085,52.396757147201825,49.84620578798763,43.46943126406582,43.46943126406582,56.53056873593418,Likely R,288,250
Iowa,IA,6,-5.358328348502326,52.396757147201825,49.84620578798763,47.0384287986995,47.0384287986995,52.9615712013005,Lean R,288,250
Kansas,KS,6,-8.826969945358588,52.396757147201825,49.84620578798763,43.56978720184324,43.56978720184324,56.43021279815676,Likely R,288,250
Kentucky,KY,8,-13.170298310563656,52.396757147201825,49.84620578798763,39.22645883663817,39.22645883663817,60.77354116336183,Strong R,288,250
Louisiana,LA,8,-9.625751172759724,52.396757147201825,49.84620578798763,42.771005974442105,42.771005974442105,57.228994025557895,Likely R,288,250
Maine,ME,2,1.2649667495223376,52.396757147201825,49.84620578798763,53.66172389672416,53.66172389672416,46.33827610327584,Lean D,288,250
Maine_d2,ME_d2,1,-0.28488417963988466,52.396757147201825,49.84620578798763,52.11187296756194,52.11187296756194,47.88812703243806,Lean D,288,250
Maryland,MD,10,11.381206877782509,52.396757147201825,49.84620578798763,63.777964024984335,63.777964024984335,36.222035975015665,Strong D,288,250
Massachusetts,MA,11,11.60489317702541,52.396757147201825,49.84620578798763,64.00165032422723,64.00165032422723,35.99834967577277,Strong D,288,250
Michigan,MI,15,-1.0430806407856534,52.396757147201825,49.84620578798763,51.35367650641617,51.35367650641617,48.64632349358383,Lean D,288,250
Minnesota,MN,10,0.6830523922845607,52.396757147201825,49.84620578798763,53.079809539486384,53.079809539486384,46.920190460513616,Lean D,288,250
Mississippi,MS,6,-8.7429762851677,52.396757147201825,49.84620578798763,43.653780862034125,43.653780862034125,56.346219137965875,Likely R,288,250
